frame,elapsed_seconds,interval_ms,cpu_active_ms,fence_ms,acquire_ms,present_ms,gpu_frame_ms,gpu_shadow_ms,submitted,width,height,action,character_deformation_ms,character_upload_ms,route_decision_ms,actor_physics_ms,character_pose_ms,world_player_doors_ms,character_audio_ms
54,0.936294,17.072500,0.619700,0.007400,16.375400,0.069600,9.448680,1.738320,1,1920,1080,"scripted-0",0.000000,0.000000,0.000300,0.000300,0.000100,0.019800,0.006800
55,0.953367,16.857500,0.663000,0.008000,16.026700,0.159400,9.364560,1.658360,1,1920,1080,"scripted-0",0.000000,0.000000,0.000300,0.000100,0.000100,0.019900,0.006500
56,0.970225,16.353200,0.779400,0.008100,15.476600,0.088300,9.459040,1.736800,1,1920,1080,"scripted-0",0.000000,0.000000,0.000300,0.000100,0.000200,0.022100,0.009200
57,0.986577,17.000800,0.585700,0.010100,16.335800,0.068700,9.334800,1.640720,1,1920,1080,"scripted-0",0.000000,0.000000,0.000300,0.000200,0.000100,0.020600,0.007900
58,1.003578,15.953000,0.560100,0.007700,15.322300,0.062500,9.505440,1.746720,1,1920,1080,"scripted-0",0.000000,0.000000,0.000300,0.000100,0.000200,0.020000,0.007100
59,1.019531,16.904500,0.670200,0.007500,16.144300,0.081900,9.374320,1.671680,1,1920,1080,"scripted-0",0.000000,0.000000,0.000200,0.000200,0.000200,0.019200,0.006600
60,1.036436,16.648800,0.699900,0.006100,15.764100,0.178300,9.583760,1.852600,1,1920,1080,"scripted-0",0.000000,0.000000,0.000300,0.000200,0.000100,0.029700,0.011100
61,1.053086,16.479300,0.750200,0.009200,15.645100,0.073000,9.394480,1.670440,1,1920,1080,"scripted-0",0.000000,0.000000,0.001000,0.000700,0.000400,0.068400,0.027400
62,1.069564,16.760400,0.614900,0.009500,16.019800,0.115800,9.511840,1.751040,1,1920,1080,"scripted-0",0.000000,0.000000,0.000200,0.000300,0.000100,0.020100,0.007400
63,1.086324,16.867900,0.758900,0.008700,15.923800,0.175900,9.547800,1.815520,1,1920,1080,"scripted-0",0.000000,0.000000,0.000300,0.000600,0.000200,0.033900,0.012000
64,1.103193,16.886700,0.856300,0.009100,15.507500,0.512900,9.447600,1.753760,1,1920,1080,"scripted-0",0.000000,0.000000,0.000700,0.000200,0.000300,0.070800,0.022800
65,1.120079,16.184000,0.540600,0.011500,15.543100,0.087800,9.447400,1.747160,1,1920,1080,"scripted-0",0.000000,0.000000,0.000500,0.000200,0.000400,0.039200,0.019800
66,1.136263,16.250700,0.417400,0.005300,15.731600,0.095800,9.525280,1.752080,1,1920,1080,"scripted-0",0.000000,0.000000,0.000400,0.000300,0.000300,0.034000,0.021100
67,1.152513,16.382800,0.322500,0.005300,15.983200,0.071400,9.337160,1.658880,1,1920,1080,"scripted-0",0.000000,0.000000,0.000600,0.000200,0.000100,0.022800,0.009100
68,1.168896,17.596900,0.553100,0.006600,16.913700,0.123000,9.497800,1.791840,1,1920,1080,"scripted-0",0.000000,0.000000,0.000100,0.000600,0.000100,0.020200,0.007200
69,1.186493,16.456600,0.475800,0.008800,15.904900,0.066600,9.408600,1.658600,1,1920,1080,"scripted-0",0.000000,0.000000,0.000400,0.000100,0.000200,0.026800,0.010400
70,1.202950,16.807700,0.653600,0.006600,15.964200,0.182500,9.439680,1.732480,1,1920,1080,"scripted-0",0.000000,0.000000,0.000200,0.000200,0.000100,0.019400,0.005900
71,1.219759,16.203700,0.480300,0.006800,15.598700,0.116400,9.359600,1.663720,1,1920,1080,"scripted-0",0.000000,0.000000,0.000300,0.000200,0.000300,0.034000,0.010300
72,1.235962,17.129100,0.594700,0.007800,16.462200,0.063600,9.473280,1.755440,1,1920,1080,"scripted-0",0.000000,0.000000,0.000700,0.000900,0.000500,0.035200,0.015300
73,1.253090,17.078600,0.500400,0.010000,16.502900,0.064900,9.386120,1.653520,1,1920,1080,"scripted-0",0.000000,0.000000,0.000300,0.000300,0.000100,0.020400,0.006400
74,1.270169,16.549500,0.533300,0.006200,15.880300,0.129300,9.503440,1.776320,1,1920,1080,"scripted-0",0.000000,0.000000,0.000200,0.000100,0.000100,0.019000,0.006000
75,1.286719,16.442200,0.699100,0.008300,15.664900,0.069400,9.412000,1.674920,1,1920,1080,"scripted-0",0.000000,0.000000,0.000400,0.000200,0.000200,0.025900,0.010900
76,1.303161,16.743500,0.669600,0.007600,15.910400,0.155300,9.474080,1.762280,1,1920,1080,"scripted-0",0.000000,0.000000,0.000300,0.000100,0.000300,0.019700,0.007000
77,1.319905,16.816200,0.700600,0.007900,15.949100,0.157200,9.433840,1.671680,1,1920,1080,"scripted-0",0.000000,0.000000,0.000300,0.000300,0.000300,0.030000,0.012800
