clip,time_s,phase,foot_l_x_m,foot_l_y_m,foot_l_z_m,ball_l_x_m,ball_l_y_m,ball_l_z_m,foot_r_x_m,foot_r_y_m,foot_r_z_m,ball_r_x_m,ball_r_y_m,ball_r_z_m,hand_l_x_m,hand_l_y_m,hand_l_z_m,hand_r_x_m,hand_r_y_m,hand_r_z_m
walk,0.095833336,0.071875000,0.088987528,0.103585214,0.173041159,0.088994863,0.042799893,0.335332314,-0.093077226,0.177478941,-0.356353775,-0.089580853,0.021226506,-0.281479109,0.268435912,0.881177534,-0.106418587,-0.290831746,0.969786870,0.254304169
walk,0.100000003,0.075000000,0.088999954,0.103690986,0.168961070,0.088999957,0.040172877,0.330202276,-0.092858833,0.180062194,-0.356535177,-0.089556815,0.022339460,-0.284800268,0.269274743,0.881538497,-0.106490093,-0.290213760,0.969468853,0.253486521
walk,0.104166670,0.078125000,0.088986166,0.103610619,0.164889572,0.088989107,0.037817350,0.325215872,-0.092681936,0.183177886,-0.357206642,-0.089533698,0.023865886,-0.289066798,0.270350995,0.882231678,-0.105971067,-0.289735799,0.968874775,0.251452957
walk,0.108333337,0.081250000,0.088976292,0.103553120,0.160815109,0.088981220,0.035497734,0.320194346,-0.092499942,0.186341819,-0.357844222,-0.089510804,0.025522613,-0.293334430,0.271424962,0.882924372,-0.105450743,-0.289247986,0.968288280,0.249416096
walk,0.112500003,0.084375000,0.088970345,0.103518503,0.156737848,0.088976364,0.033214508,0.315138053,-0.092312687,0.189553730,-0.358447792,-0.089487695,0.027310154,-0.297601194,0.272496641,0.883616573,-0.104929129,-0.288750317,0.967709399,0.247376016
walk,0.116666670,0.087500000,0.088968337,0.103506785,0.152657956,0.088974609,0.030968148,0.310047354,-0.092120004,0.192813352,-0.359017230,-0.089463934,0.029228973,-0.301865107,0.273566029,0.884308276,-0.104406235,-0.288242791,0.967138162,0.245332796
walk,0.120833337,0.090625000,0.088970281,0.103517978,0.148575598,0.088976021,0.028759126,0.304922618,-0.091921733,0.196120416,-0.359552414,-0.089439080,0.031279491,-0.306124173,0.274633122,0.884999475,-0.103882066,-0.287725403,0.966574600,0.243286512
walk,0.125000004,0.093750000,0.088976189,0.103552093,0.144490941,0.088980669,0.026587910,0.299764220,-0.091717715,0.199474646,-0.360053224,-0.089412691,0.033462084,-0.310376381,0.275697918,0.885690166,-0.103356633,-0.287198153,0.966018741,0.241237244
walk,0.129166671,0.096875000,0.088986073,0.103609140,0.140404151,0.088988620,0.024454961,0.294572542,-0.091507792,0.202875766,-0.360519544,-0.089384323,0.035777079,-0.314619711,0.276760415,0.886380342,-0.102829943,-0.286661038,0.965470614,0.239185069
walk,0.133333337,0.100000000,0.088999943,0.103689129,0.136315396,0.088999941,0.022360738,0.289347973,-0.091291812,0.206323491,-0.360951255,-0.089353532,0.038224760,-0.318852130,0.277820609,0.887069999,-0.102302004,-0.286114058,0.964930249,0.237130067
walk,0.137500004,0.103125000,0.088985345,0.103611835,0.132256295,0.088983578,0.021377133,0.284803765,-0.091161808,0.210131184,-0.361556263,-0.089343937,0.041134998,-0.323212288,0.279074598,0.888016878,-0.101155969,-0.285711132,0.964141303,0.233935683
walk,0.141666671,0.106250000,0.088974887,0.103556564,0.128190583,0.088971841,0.020418268,0.280247482,-0.091025019,0.213984207,-0.362124612,-0.089331637,0.044174490,-0.327554858,0.280322268,0.888963444,-0.100007333,-0.285283053,0.963368197,0.230734397
walk,0.145833338,0.109375000,0.088968583,0.103523374,0.124118471,0.088964754,0.019484250,0.275679357,-0.090881276,0.217882232,-0.362656152,-0.089316154,0.047343320,-0.331877837,0.281563610,0.889909684,-0.098856127,-0.284829796,0.962611046,0.227526501
walk,0.150000004,0.112500000,0.088966448,0.103512317,0.120040170,0.088962341,0.018575183,0.271099628,-0.090730413,0.221824929,-0.363150735,-0.089297010,0.050641529,-0.336179216,0.282798613,0.890855582,-0.097702383,-0.284351336,0.961869962,0.224312288
walk,0.154166671,0.115625000,0.088968497,0.103523444,0.115955891,0.088964626,0.017691168,0.266508530,-0.090572267,0.225811964,-0.363608216,-0.089273730,0.054069111,-0.340456982,0.284027268,0.891801125,-0.096546132,-0.283847651,0.961145053,0.221092049
walk,0.158333338,0.118750000,0.088974744,0.103556805,0.111865848,0.088971631,0.016832304,0.261906301,-0.090406679,0.229842998,-0.364028453,-0.089245837,0.057626017,-0.344709117,0.285249566,0.892746298,-0.095387405,-0.283318725,0.960436429,0.217866081
walk,0.162500005,0.121875000,0.088985201,0.103612446,0.107770253,0.088983377,0.015998687,0.257293181,-0.090233495,0.233917690,-0.364411302,-0.089212859,0.061312154,-0.348933598,0.286465496,0.893691088,-0.094226235,-0.282764542,0.959744194,0.214634678
walk,0.166666672,0.125000000,0.088999883,0.103690409,0.103669321,0.088999887,0.015190409,0.252669410,-0.090052563,0.238035692,-0.364756626,-0.089174325,0.065127379,-0.353128401,0.287675051,0.894635479,-0.093062653,-0.282185091,0.959068452,0.211398138
walk,0.170833338,0.128125000,0.088984840,0.103603353,0.099621762,0.088980425,0.015103940,0.248622192,-0.089986070,0.241974031,-0.363602012,-0.089183164,0.068871254,-0.355352355,0.289017393,0.895755483,-0.091354026,-0.281801452,0.958295956,0.207376039
walk,0.175000005,0.131250000,0.088974027,0.103541119,0.095564056,0.088966439,0.015042080,0.244564699,-0.089911133,0.245969220,-0.362414618,-0.089186065,0.072738006,-0.357546875,0.290348732,0.896876358,-0.089641799,-0.281377872,0.957545908,0.203344920
walk,0.179166672,0.134375000,0.088967478,0.103503812,0.091496528,0.088957971,0.015004955,0.240497270,-0.089827548,0.250020960,-0.361194533,-0.089182479,0.076727401,-0.359710758,0.291669051,0.897998080,-0.087926039,-0.280914293,0.956818515,0.199305343
walk,0.183333339,0.137500000,0.088965228,0.103491528,0.087419506,0.088955066,0.014992686,0.236420248,-0.089735116,0.254128948,-0.359941850,-0.089171860,0.080839174,-0.361842807,0.292978330,0.899120624,-0.086206815,-0.280410662,0.956113979,0.195257869
walk,0.187500006,0.140625000,0.088967309,0.103504363,0.083333319,0.088957762,0.015005388,0.232333974,-0.089633644,0.258292875,-0.358656664,-0.089153666,0.085073030,-0.363941823,0.294276551,0.900243964,-0.084484193,-0.279866937,0.955432500,0.191203067
walk,0.191666672,0.143750000,0.088973753,0.103542404,0.079238299,0.088966102,0.015043175,0.228238794,-0.089522942,0.262512425,-0.357339074,-0.089127361,0.089428641,-0.366006611,0.295563697,0.901368075,-0.082758243,-0.279283081,0.954774271,0.187141504
walk,0.195833339,0.146875000,0.088984592,0.103605736,0.075134776,0.088980124,0.015106153,0.224135053,-0.089402827,0.266787279,-0.355989179,-0.089092411,0.093905647,-0.368035978,0.296839752,0.902492932,-0.081029031,-0.278659068,0.954139482,0.183073753
walk,0.200000006,0.150000000,0.088999855,0.103694439,0.071023085,0.088999867,0.015194426,0.220023098,-0.089273120,0.271117110,-0.354607078,-0.089048287,0.098503657,-0.370028733,0.298104699,0.903618509,-0.079296628,-0.277994879,0.953528318,0.179000387
walk,0.204166673,0.153125000,0.088984292,0.103586487,0.066982770,0.088978589,0.015086951,0.215983070,-0.089273366,0.274542946,-0.350454927,-0.089075818,0.102221993,-0.368859567,0.299459590,0.904834143,-0.077126979,-0.277599473,0.952976061,0.174623605
walk,0.208333340,0.156250000,0.088973140,0.103509109,0.062930496,0.088963341,0.015009963,0.211931032,-0.089264295,0.278060791,-0.346289855,-0.089095171,0.106083914,-0.367672200,0.300799342,0.906052690,-0.074953227,-0.277156541,0.952447570,0.170238437
walk,0.212500006,0.159375000,0.088966417,0.103462422,0.058866466,0.088954149,0.014963555,0.207867171,-0.089245663,0.281670485,-0.342112981,-0.089105647,0.110089171,-0.366466851,0.302123925,0.907274113,-0.072775481,-0.276666009,0.951943080,0.165845583
walk,0.216666673,0.162500000,0.088964140,0.103446543,0.054790884,0.088951035,0.014947816,0.203791676,-0.089217227,0.285371851,-0.337925420,-0.089106554,0.114237477,-0.365243738,0.303433313,0.908498378,-0.070593849,-0.276127815,0.951462824,0.161445748
walk,0.220833340,0.165625000,0.088966326,0.103461585,0.050703953,0.088954023,0.014962835,0.199704737,-0.089178750,0.289164692,-0.333728289,-0.089097202,0.118528513,-0.364003081,0.304727482,0.909725448,-0.068408438,-0.275541910,0.951007027,0.157039640
walk,0.225000007,0.168750000,0.088972990,0.103507661,0.046605881,0.088963136,0.015008697,0.195606543,-0.089130003,0.293048794,-0.329522700,-0.089076907,0.122961924,-0.362745099,0.306006406,0.910955287,-0.066219358,-0.274908253,0.950575911,0.152627970
walk,0.229166673,0.171875000,0.088984149,0.103584879,0.042496873,0.088978395,0.015085489,0.191497286,-0.089070759,0.297023924,-0.325309764,-0.089044993,0.127537321,-0.361470011,0.307270061,0.912187860,-0.064026718,-0.274226816,0.950169692,0.148211451
walk,0.233333340,0.175000000,0.088999817,0.103693349,0.038377138,0.088999821,0.015193292,0.187377159,-0.089000798,0.301089828,-0.321090587,-0.089000789,0.132254278,-0.360178032,0.308518427,0.913423132,-0.061830624,-0.273497584,0.949788582,0.143790800
walk,0.237500007,0.178125000,0.088983563,0.103551406,0.034340279,0.088976539,0.015051965,0.183340668,-0.089026619,0.303602978,-0.314684293,-0.089030688,0.135325051,-0.356106653,0.309830049,0.914670980,-0.059242583,-0.273065589,0.949516481,0.139460905
walk,0.241666674,0.181250000,0.088971853,0.103449257,0.030290013,0.088959785,0.014950260,0.179290667,-0.089045399,0.306235201,-0.308294793,-0.089053272,0.138547238,-0.352044321,0.311122822,0.915924668,-0.056650389,-0.272585823,0.949264461,0.135125015
walk,0.245833341,0.184375000,0.088964731,0.103387033,0.026226759,0.088949615,0.014888304,0.175227574,-0.089056971,0.308986165,-0.301924143,-0.089067928,0.141920400,-0.347992631,0.312396711,0.917184150,-0.054054194,-0.272058221,0.949032729,0.130783801
walk,0.250000007,0.187500000,0.088962236,0.103364859,0.022150936,0.088946082,0.014866222,0.171151808,-0.089061169,0.311855500,-0.295574390,-0.089074042,0.145444053,-0.343953176,0.313651681,0.918449380,-0.051454150,-0.271482731,0.948821491,0.126437937
walk,0.254166674,0.190625000,0.088964410,0.103382856,0.018062966,0.088949236,0.014884136,0.167063791,-0.089057827,0.314842802,-0.289247575,-0.089071004,0.149117671,-0.339927539,0.314887700,0.919720313,-0.048850410,-0.270859309,0.948630946,0.122088101
walk,0.258333341,0.193750000,0.088971292,0.103441143,0.013963273,0.088959129,0.014942161,0.162963945,-0.089046780,0.317947630,-0.282945728,-0.089058206,0.152940684,-0.335917298,0.316104739,0.920996903,-0.046243126,-0.270187925,0.948461291,0.117734971
walk,0.262500008,0.196875000,0.088982919,0.103539830,0.009852280,0.088975809,0.015040409,0.158852693,-0.089027862,0.321169505,-0.276670873,-0.089035043,0.156912480,-0.331924021,0.317302767,0.922279103,-0.043632451,-0.269468557,0.948312720,0.113379230
walk,0.266666675,0.200000000,0.088999328,0.103679028,0.005730413,0.088999324,0.015178988,0.154730461,-0.089000911,0.324507915,-0.270425022,-0.089000912,0.161032404,-0.327949269,0.318481757,0.923566866,-0.041018538,-0.268701198,0.948185421,0.109021560
walk,0.270833341,0.203125000,0.088991114,0.103696919,0.001780630,0.088977526,0.015035523,0.150684722,-0.089008572,0.325968428,-0.262758436,-0.089012256,0.162978599,-0.321644744,0.319699688,0.924797914,-0.038061513,-0.268220016,0.948112858,0.104974809
walk,0.275000008,0.206250000,0.088987582,0.103757784,-0.002179759,0.088962456,0.014934947,0.146628090,-0.089014191,0.327558928,-0.255124995,-0.089021122,0.165066205,-0.315369468,0.320895513,0.926038237,-0.035100758,-0.267695070,0.948054732,0.100924554
walk,0.279166675,0.209375000,0.088988776,0.103861725,-0.006150289,0.088954170,0.014877366,0.142561029,-0.089017730,0.329278730,-0.247527043,-0.089027163,0.167294505,-0.309125684,0.322069189,0.927287780,-0.032136474,-0.267126313,0.948011206,0.096871354
walk,0.283333342,0.212500000,0.088994744,0.104008843,-0.010130494,0.088952720,0.014862878,0.138484005,-0.089019148,0.331127101,-0.239966905,-0.089030029,0.169662735,-0.302915616,0.323220678,0.928546488,-0.029168860,-0.266513705,0.947982444,0.092815770
walk,0.287500009,0.215625000,0.089005527,0.104199230,-0.014119904,0.088958159,0.014891576,0.134397487,-0.089018399,0.333103266,-0.232446894,-0.089029366,0.172170086,-0.296741476,0.324349945,0.929814305,-0.026198115,-0.265857216,0.947968605,0.088758362
walk,0.291666675,0.218750000,0.089021170,0.104432975,-0.018118052,0.088970538,0.014963550,0.130301942,-0.089015433,0.335206409,-0.224969305,-0.089024818,0.174815706,-0.290605456,0.325456953,0.931091172,-0.023224439,-0.265156825,0.947969847,0.084699695
walk,0.295833342,0.221875000,0.089041712,0.104710161,-0.022124467,0.088989905,0.015078883,0.126197841,-0.089010195,0.337435669,-0.217536419,-0.089016026,0.177598700,-0.284509736,0.326541671,0.932377034,-0.020248031,-0.264412521,0.947986328,0.080640332
walk,0.300000009,0.225000000,0.089067195,0.105030869,-0.026138679,0.089016308,0.015237655,0.122085654,-0.089002628,0.339790145,-0.210150498,-0.089002628,0.180518129,-0.278456475,0.327604068,0.933671831,-0.017269091,-0.263624299,0.948018202,0.076580842
walk,0.304166676,0.228125000,0.089076550,0.105369393,-0.029927121,0.089000422,0.015131584,0.118026949,-0.088988755,0.340031544,-0.201889602,-0.088988814,0.180950667,-0.270639540,0.328680250,0.934843804,-0.014030486,-0.263102054,0.948001963,0.072896476
walk,0.308333343,0.231250000,0.089090477,0.105741465,-0.033721058,0.088990684,0.015059685,0.113961296,-0.088978627,0.340402302,-0.193651720,-0.088979060,0.181513887,-0.262845276,0.329731651,0.936028023,-0.010789039,-0.262541544,0.947995314,0.069210424
